tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	final_h	line	column	has_pronominal_suffix	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
133044	MT	Judges	9	8	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
135136	MT	Judges	11	30	NTN[	NTWN	NTWN	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	נתון		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
136432	MT	Judges	14	9	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
136434	MT	Judges	14	9	>KL[	>KL	>KL	CCC	CCC	qal	infa		unknown	unknown	verb				W	nnn	nnn	אכל		noH	-	-	0	1	0	0	nnn	nnn	first		0
136773	MT	Judges	15	2	>MR[	>MR	>MR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אמר		noH	-	-	0	0	0	0	nnn	nnn	first		0
136776	MT	Judges	15	2	FN>[	FN>	FN>	CCM	CCM	qal	infa		unknown	unknown	verb					nnn	nnn	שנא		noH	-	-	0	0	0	0	nnn	nnn	first		0
137017	MT	Judges	15	13	>SR[	>SR	>SR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אסר		noH	-	-	0	0	0	0	nnn	nnn	first		0
137448	MT	Judges	16	11	>SR[	>SWR	>SWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	אסור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
142654	MT	1_Samuel	2	28	BXR[	BXR	BXR	CCC	CCC	qal	infa		unknown	unknown	verb				W	nnn	nnn	בחר		noH	-	-	0	1	0	0	nnn	nnn	first		0
142714	MT	1_Samuel	2	30	>MR[	>MWR	>MWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	אמור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
144419	MT	1_Samuel	6	12	HLK[	HLK	HLK	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	הלך		noH	-	-	0	0	0	0	nnn	nnn	first		0
148744	MT	1_Samuel	14	19	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
149005	MT	1_Samuel	14	30	>KL[	>KL	>KL	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אכל		noH	-	-	0	0	0	0	nnn	nnn	first		0
149331	MT	1_Samuel	14	43	V<M[	V<M	V<M	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	טעם		noH	-	-	0	0	0	0	nnn	nnn	first		0
153369	MT	1_Samuel	19	23	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
153479	MT	1_Samuel	20	3	JD<[	JD<	JD<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	ידע		noH	-	-	0	0	0	0	nnn	nnn	first		0
153531	MT	1_Samuel	20	5	JCB[	JCB	JCB	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	ישב		noH	-	-	0	0	0	0	nnn	nnn	first		0
153551	MT	1_Samuel	20	6	PQD[	PQD	PQD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פקד		noH	-	-	0	0	0	0	nnn	nnn	first		0
153625	MT	1_Samuel	20	9	JD<[	JD<	JD<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	ידע		noH	-	-	0	0	0	0	nnn	nnn	first		0
153860	MT	1_Samuel	20	21	>MR[	>MR	>MR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אמר		noH	-	-	0	0	0	0	nnn	nnn	first		0
155058	MT	1_Samuel	22	13	C>L[	C>WL	C>WL	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	שאול		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
155526	MT	1_Samuel	23	10	CM<[	CM<	CM<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמע		noH	-	-	0	0	0	0	nnn	nnn	first		0
155801	MT	1_Samuel	23	22	<RM=[	<RWM	<RWM	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	ערום		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
156438	MT	1_Samuel	24	21	MLK[	MLK	MLK	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	מלך		noH	-	-	0	0	0	0	nnn	nnn	first		0
158194	MT	1_Samuel	26	25	JKL[	JKL	JKL	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	יכל		noH	-	-	0	0	0	0	nnn	nnn	first		0
